RegionID,SizeRank_x,RegionName,RegionType,StateName,Quarter,Rent,SizeRank_y,Price
394913,1,New York,msa,NY,1/31/15,2309.053853,1,407744.5604
753899,2,Los Angeles,msa,CA,1/31/15,1824.564158,2,502650.7643
394463,3,Chicago,msa,IL,1/31/15,1376.890143,3,194590.391
394514,4,Dallas,msa,TX,1/31/15,1102.520229,4,171690.5676
394692,5,Houston,msa,TX,1/31/15,1233.900883,5,174569.7225
395209,6,Washington,msa,VA,1/31/15,1722.001078,6,370259.6321
394974,7,Philadelphia,msa,PA,1/31/15,1236.021483,7,204636.9156
394856,8,Miami,msa,FL,1/31/15,1502.516038,8,210722.9406
394347,9,Atlanta,msa,GA,1/31/15,1038.267541,9,167266.4985
394404,10,Boston,msa,MA,1/31/15,1949.856311,10,369656.1897
394976,11,Phoenix,msa,AZ,1/31/15,943.9345245,11,203918.0795
395057,12,San Francisco,msa,CA,1/31/15,2294.206458,12,658699.3913
395025,13,Riverside,msa,CA,1/31/15,1343.952836,13,276126.5537
394532,14,Detroit,msa,MI,1/31/15,874.6292966,14,122698.9564
395078,15,Seattle,msa,WA,1/31/15,1368.321021,15,324956.2435
394865,16,Minneapolis,msa,MN,1/31/15,1146.168993,16,218743.1514
395056,17,San Diego,msa,CA,1/31/15,1677.175588,17,452957.0191
395148,18,Tampa,msa,FL,1/31/15,1063.106862,18,153543.7829
394530,19,Denver,msa,CO,1/31/15,1263.975239,19,287508.4113
394358,20,Baltimore,msa,MD,1/31/15,1347.170108,20,256941.9652
395121,21,St. Louis,msa,MO,1/31/15,876.8359695,21,144047.5739
394943,22,Orlando,msa,FL,1/31/15,1146.645141,22,174695.3607
394458,23,Charlotte,msa,NC,1/31/15,1040.066004,23,166176.2891
395055,24,San Antonio,msa,TX,1/31/15,1032.287746,24,158093.0921
394998,25,Portland,msa,OR,1/31/15,1152.695337,25,283863.791
395045,26,Sacramento,msa,CA,1/31/15,1256.523099,26,309603.6524
394982,27,Pittsburgh,msa,PA,1/31/15,967.9020731,27,131570.1896
394466,28,Cincinnati,msa,OH,1/31/15,879.3340229,28,145018.398
394355,29,Austin,msa,TX,1/31/15,1195.862588,29,244790.0592
394775,30,Las Vegas,msa,NV,1/31/15,996.639096,30,192074.8998
394735,31,Kansas City,msa,MO,1/31/15,868.8608494,31,147543.7447
394492,32,Columbus,msa,OH,1/31/15,925.5639284,32,148026.8005
394705,34,Indianapolis,msa,IN,1/31/15,926.6940823,34,134693.5371
394475,35,Cleveland,msa,OH,1/31/15,845.4974218,35,120811.894
395059,36,San Jose,msa,CA,1/31/15,2494.954421,36,772729.7405
394902,37,Nashville,msa,TN,1/31/15,1167.555166,37,193005.027
395194,38,Virginia Beach,msa,VA,1/31/15,1105.089929,38,214609.1395
395005,39,Providence,msa,RI,1/31/15,1108.349425,39,238073.3334
394714,40,Jacksonville,msa,FL,1/31/15,1005.073121,40,165860.6727
394862,41,Milwaukee,msa,WI,1/31/15,908.7052854,41,184517.0001
394935,42,Oklahoma City,msa,OK,1/31/15,927.3032821,42,137393.5336
395012,43,Raleigh,msa,NC,1/31/15,1111.605414,43,216794.1124
394849,44,Memphis,msa,TN,1/31/15,916.2556742,44,119157.3907
395022,45,Richmond,msa,VA,1/31/15,980.1764988,45,193789.2344
394807,46,Louisville,msa,KY,1/31/15,823.6886377,46,141930.9811
394910,47,New Orleans,msa,LA,1/31/15,1114.615346,47,199380.2755
395053,48,Salt Lake City,msa,UT,1/31/15,966.8509628,48,245072.8472
394669,49,Hartford,msa,CT,1/31/15,1160.824838,49,211388.9484
394425,50,Buffalo,msa,NY,1/31/15,780.009542,50,129945.6302
394388,51,Birmingham,msa,AL,1/31/15,928.2116693,51,144300.349
395031,52,Rochester,msa,NY,1/31/15,891.8167547,52,129022.3568
394640,53,Grand Rapids,msa,MI,1/31/15,821.2272148,53,149534.6587
395167,54,Tucson,msa,AZ,1/31/15,875.9501347,54,170520.9703
753924,55,Urban Honolulu,msa,HI,1/31/15,1897.549002,55,549182.2736
395169,56,Tulsa,msa,OK,1/31/15,905.4461255,56,130778.1091
394619,57,Fresno,msa,CA,1/31/15,1060.480376,57,194824.6019
395238,58,Worcester,msa,MA,1/31/15,1079.520638,58,223504.4836
394938,59,Omaha,msa,NE,1/31/15,839.1811641,59,147302.4656
394415,60,Bridgeport,msa,CT,1/31/15,1702.064636,60,388729.6385
394653,61,Greenville,msa,SC,1/31/15,929.300135,61,144812.4678
394312,62,Albuquerque,msa,NM,1/31/15,867.2841953,62,168271.0449
394357,63,Bakersfield,msa,CA,1/31/15,978.7468917,63,176705.8883
394308,64,Albany,msa,NY,1/31/15,1035.264801,64,197086.0424
394753,65,Knoxville,msa,TN,1/31/15,896.0327535,65,147389.3225
394367,66,Baton Rouge,msa,LA,1/31/15,1038.123536,66,171770.3541
394843,67,McAllen,msa,TX,1/31/15,819.7926333,67,88909.90656
394908,68,New Haven,msa,CT,1/31/15,1139.332115,68,205656.9215
394561,69,El Paso,msa,TX,1/31/15,995.7820665,69,123049.4491
394318,70,Allentown,msa,PA,1/31/15,1062.399966,70,181810.2826
394952,71,Oxnard,msa,CA,1/31/15,1826.693904,71,489387.2675
394486,72,Columbia,msa,SC,1/31/15,895.9965882,72,131829.5634
753906,73,North Port,msa,FL,1/31/15,1309.34391,73,211310.9637
394457,75,Charleston,msa,SC,1/31/15,1110.710231,75,209934.1874
394648,76,Greensboro,msa,NC,1/31/15,839.1445528,76,126047.6811
395134,77,Stockton,msa,CA,1/31/15,1238.57613,77,262169.3271
394440,78,Cape Coral,msa,FL,1/31/15,1027.558771,78,183363.3749
394399,79,Boise City,msa,ID,1/31/15,900.0931628,79,182269.0963
394484,80,Colorado Springs,msa,CO,1/31/15,1050.312615,80,223457.9443
394798,81,Little Rock,msa,AR,1/31/15,828.179984,81,147949.5313
394766,82,Lakeland,msa,FL,1/31/15,1007.443089,82,130733.768
394304,83,Akron,msa,OH,1/31/15,751.6137526,83,117491.6613
394531,84,Des Moines,msa,IA,1/31/15,943.2763448,84,160486.4244
395115,85,Springfield,msa,MA,1/31/15,1023.189907,85,195224.6896
394931,87,Ogden,msa,UT,1/31/15,889.5248437,87,204721.9496
394816,88,Madison,msa,WI,1/31/15,1145.62392,88,215915.0966
395235,89,Winston,msa,NC,1/31/15,877.396388,89,133559.5244
394528,90,Deltona,msa,FL,1/31/15,983.6810495,90,148141.6468
395143,91,Syracuse,msa,NY,1/31/15,922.6019393,91,121662.386
395006,92,Provo,msa,UT,1/31/15,1070.639234,92,240037.1021
395160,93,Toledo,msa,OH,1/31/15,726.4477685,93,100352.9921
395224,94,Wichita,msa,KS,1/31/15,749.5977576,94,112869.0147
394549,95,Durham,msa,NC,1/31/15,1063.029588,95,192798.303
394352,96,Augusta,msa,GA,1/31/15,813.3453742,96,121554.7884
394957,97,Palm Bay,msa,FL,1/31/15,992.5872102,97,146834.6116
394666,99,Harrisburg,msa,PA,1/31/15,848.6042206,99,168476.5348
395113,100,Spokane,msa,WA,1/31/15,743.8743003,100,168059.0659
395075,101,Scranton,msa,PA,1/31/15,743.0900463,101,124081.8262
394460,102,Chattanooga,msa,TN,1/31/15,859.0293124,102,147487.8279
394871,103,Modesto,msa,CA,1/31/15,977.281894,103,223738.2813
394768,104,Lancaster,msa,PA,1/31/15,813.9133296,104,194199.6797
394997,105,Portland,msa,ME,1/31/15,1222.550152,105,232887.0417
395245,106,Youngstown,msa,OH,1/31/15,614.032986,106,83558.13727
394770,107,Lansing,msa,MI,1/31/15,802.5342445,107,119742.061
394590,108,Fayetteville,msa,AR,1/31/15,899.9413321,108,154031.5475
394589,109,Fayetteville,msa,NC,1/31/15,829.4167158,109,131212.5604
394792,110,Lexington,msa,KY,1/31/15,852.3451192,110,152987.1489
395068,112,Santa Rosa,msa,CA,1/31/15,1653.993802,112,478800.6822
